text,crime_type,location,date,time,processed_text
An unarmed robbery was reported in Connaught Place where a pedestrian's bag was snatched.,Robbery (Unarmed),"Connaught Place, Delhi",17-10-2023,10:15:00,unarmed robbery reported connaught place pedestrian bag snatched
A riot broke out in Noida after a religious procession turned violent.,Rioting,"Noida, UP",18-10-2023,17:45:00,riot broke noida religious procession turned violent
Gang violence was reported in Greater Kailash where two groups clashed over territory.,Gang Violence,"Greater Kailash, Delhi",19-10-2023,02:30:00,gang violence reported greater kailash two group clashed territory
"A terrorist plot was foiled in Delhi, with explosives recovered from a suspect's home.",Terrorism,Delhi,20-10-2023,19:50:00,terrorist plot foiled delhi explosive recovered suspect home
A physical assault was reported in Dwarka where a man was attacked by a group of youths.,Assault (Physical),"Dwarka, Delhi",21-10-2023,14:20:00,physical assault reported dwarka man attacked group youth
A sexual assault case was filed in Saket where a woman was attacked in a park.,Assault (Sexual),"Saket, Delhi",22-10-2023,13:00:00,sexual assault case filed saket woman attacked park
Domestic violence was reported in Rohini where a woman was assaulted by her in-laws.,Assault (Domestic Violence),"Rohini, Delhi",23-10-2023,08:30:00,domestic violence reported rohini woman assaulted inlaws
A murder was reported in Karol Bagh where a shopkeeper was killed during a robbery.,Murder/Homicide,"Karol Bagh, Delhi",24-10-2023,22:00:00,murder reported karol bagh shopkeeper killed robbery
An attempted murder was reported in Connaught Place where a man was attacked with a knife.,Attempted Murder,"Connaught Place, Delhi",25-10-2023,23:00:00,attempted murder reported connaught place man attacked knife
A kidnapping was reported in Noida where a child was abducted from a school bus stop.,Kidnapping/Abduction,"Noida, UP",26-10-2023,21:10:00,kidnapping reported noida child abducted school bus stop
An armed robbery was reported in Cyber City where a bank was looted at gunpoint.,Robbery (Armed),"Cyber City, Gurgaon",27-10-2023,10:15:00,armed robbery reported cyber city bank looted gunpoint
A riot broke out in Rohini after a cricket match turned violent.,Rioting,"Rohini, Delhi",28-10-2023,17:45:00,riot broke rohini cricket match turned violent
Gang violence was reported in Saket where rival gangs clashed over drug territory.,Gang Violence,"Saket, Delhi",29-10-2023,02:30:00,gang violence reported saket rival gang clashed drug territory
"A terrorist attack was averted in Delhi, with suspects arrested before they could act.",Terrorism,Delhi,30-10-2023,19:50:00,terrorist attack averted delhi suspect arrested could act
A physical assault was reported in Greater Kailash where a man was beaten by his neighbor.,Assault (Physical),"Greater Kailash, Delhi",31-10-2023,14:20:00,physical assault reported greater kailash man beaten neighbor
A sexual assault case was filed in Dwarka where a woman was attacked in her home.,Assault (Sexual),"Dwarka, Delhi",01-11-2023,13:00:00,sexual assault case filed dwarka woman attacked home
Domestic violence was reported in Noida where a man was assaulted by his wife.,Assault (Domestic Violence),"Noida, UP",02-11-2023,08:30:00,domestic violence reported noida man assaulted wife
A murder was reported in Connaught Place where a man was found dead in an alley.,Murder/Homicide,"Connaught Place, Delhi",03-11-2023,22:00:00,murder reported connaught place man found dead alley
An attempted murder was reported in Karol Bagh where a man was shot but survived.,Attempted Murder,"Karol Bagh, Delhi",04-11-2023,23:00:00,attempted murder reported karol bagh man shot survived
A kidnapping was reported in Rohini where a child was abducted from a park.,Kidnapping/Abduction,"Rohini, Delhi",05-11-2023,21:10:00,kidnapping reported rohini child abducted park
An unarmed robbery was reported in Saket where a pedestrian's phone was snatched.,Robbery (Unarmed),"Saket, Delhi",06-11-2023,10:15:00,unarmed robbery reported saket pedestrian phone snatched
A riot broke out in Cyber City after a protest turned violent.,Rioting,"Cyber City, Gurgaon",07-11-2023,17:45:00,riot broke cyber city protest turned violent
Gang violence was reported in Dwarka where two groups clashed over a gambling dispute.,Gang Violence,"Dwarka, Delhi",08-11-2023,02:30:00,gang violence reported dwarka two group clashed gambling dispute
"A terrorist threat was reported in Noida, leading to increased police presence.",Terrorism,"Noida, UP",09-11-2023,19:50:00,terrorist threat reported noida leading increased police presence
A physical assault was reported in Rohini where a man was attacked by a group over a property dispute.,Assault (Physical),"Rohini, Delhi",10-11-2023,14:20:00,physical assault reported rohini man attacked group property dispute
A sexual assault case was filed in Saket where a woman was harassed by a stranger in a park.,Assault (Sexual),"Saket, Delhi",11-11-2023,13:00:00,sexual assault case filed saket woman harassed stranger park
Domestic violence was reported in Dwarka where a woman was assaulted by her husband over a family dispute.,Assault (Domestic Violence),"Dwarka, Delhi",12-11-2023,08:30:00,domestic violence reported dwarka woman assaulted husband family dispute
A murder was reported in Karol Bagh where a shopkeeper was stabbed during a robbery.,Murder/Homicide,"Karol Bagh, Delhi",13-11-2023,22:00:00,murder reported karol bagh shopkeeper stabbed robbery
An attempted murder was reported in Connaught Place where a man was attacked with a knife.,Attempted Murder,"Connaught Place, Delhi",14-11-2023,23:00:00,attempted murder reported connaught place man attacked knife
A kidnapping was reported in Noida where a child was abducted from a playground.,Kidnapping/Abduction,"Noida, UP",15-11-2023,21:10:00,kidnapping reported noida child abducted playground
An armed robbery was reported in Cyber City where a jewelry store was looted at gunpoint.,Robbery (Armed),"Cyber City, Gurgaon",16-11-2023,10:15:00,armed robbery reported cyber city jewelry store looted gunpoint
A riot broke out in Rohini after a political rally turned violent.,Rioting,"Rohini, Delhi",17-11-2023,17:45:00,riot broke rohini political rally turned violent
Gang violence was reported in Saket where rival gangs clashed over drug territory.,Gang Violence,"Saket, Delhi",18-11-2023,02:30:00,gang violence reported saket rival gang clashed drug territory
"A terrorist plot was foiled in Delhi, with explosives recovered from a suspect's home.",Terrorism,Delhi,19-11-2023,19:50:00,terrorist plot foiled delhi explosive recovered suspect home
A physical assault was reported in Greater Kailash where a man was beaten by his neighbor.,Assault (Physical),"Greater Kailash, Delhi",20-11-2023,14:20:00,physical assault reported greater kailash man beaten neighbor
A sexual assault case was filed in Dwarka where a woman was attacked in her home.,Assault (Sexual),"Dwarka, Delhi",21-11-2023,13:00:00,sexual assault case filed dwarka woman attacked home
Domestic violence was reported in Noida where a man was assaulted by his wife.,Assault (Domestic Violence),"Noida, UP",22-11-2023,08:30:00,domestic violence reported noida man assaulted wife
A murder was reported in Connaught Place where a man was found dead in an alley.,Murder/Homicide,"Connaught Place, Delhi",23-11-2023,22:00:00,murder reported connaught place man found dead alley
An attempted murder was reported in Karol Bagh where a man was shot but survived.,Attempted Murder,"Karol Bagh, Delhi",24-11-2023,23:00:00,attempted murder reported karol bagh man shot survived
A kidnapping was reported in Rohini where a child was abducted from a park.,Kidnapping/Abduction,"Rohini, Delhi",25-11-2023,21:10:00,kidnapping reported rohini child abducted park
An unarmed robbery was reported in Saket where a pedestrian's phone was snatched.,Robbery (Unarmed),"Saket, Delhi",26-11-2023,10:15:00,unarmed robbery reported saket pedestrian phone snatched
A riot broke out in Cyber City after a protest turned violent.,Rioting,"Cyber City, Gurgaon",27-11-2023,17:45:00,riot broke cyber city protest turned violent
Gang violence was reported in Dwarka where two groups clashed over a gambling dispute.,Gang Violence,"Dwarka, Delhi",28-11-2023,02:30:00,gang violence reported dwarka two group clashed gambling dispute
"A terrorist threat was reported in Noida, leading to increased police presence.",Terrorism,"Noida, UP",29-11-2023,19:50:00,terrorist threat reported noida leading increased police presence
A physical assault was reported in Rohini where a man was attacked by a group over a property dispute.,Assault (Physical),"Rohini, Delhi",30-11-2023,14:20:00,physical assault reported rohini man attacked group property dispute
A sexual assault case was filed in Saket where a woman was harassed by a stranger in a park.,Assault (Sexual),"Saket, Delhi",01-12-2023,13:00:00,sexual assault case filed saket woman harassed stranger park
Domestic violence was reported in Dwarka where a woman was assaulted by her husband over a family dispute.,Assault (Domestic Violence),"Dwarka, Delhi",02-12-2023,08:30:00,domestic violence reported dwarka woman assaulted husband family dispute
A murder was reported in Karol Bagh where a shopkeeper was stabbed during a robbery.,Murder/Homicide,"Karol Bagh, Delhi",03-12-2023,22:00:00,murder reported karol bagh shopkeeper stabbed robbery
An attempted murder was reported in Connaught Place where a man was attacked with a knife.,Attempted Murder,"Connaught Place, Delhi",04-12-2023,23:00:00,attempted murder reported connaught place man attacked knife
A kidnapping was reported in Noida where a child was abducted from a playground.,Kidnapping/Abduction,"Noida, UP",05-12-2023,21:10:00,kidnapping reported noida child abducted playground
An armed robbery was reported in Cyber City where a jewelry store was looted at gunpoint.,Robbery (Armed),"Cyber City, Gurgaon",06-12-2023,10:15:00,armed robbery reported cyber city jewelry store looted gunpoint
A riot broke out in Rohini after a political rally turned violent.,Rioting,"Rohini, Delhi",07-12-2023,17:45:00,riot broke rohini political rally turned violent
Gang violence was reported in Saket where rival gangs clashed over drug territory.,Gang Violence,"Saket, Delhi",08-12-2023,02:30:00,gang violence reported saket rival gang clashed drug territory
"A terrorist plot was foiled in Delhi, with explosives recovered from a suspect's home.",Terrorism,Delhi,09-12-2023,19:50:00,terrorist plot foiled delhi explosive recovered suspect home
A physical assault was reported in Greater Kailash where a man was beaten by his neighbor.,Assault (Physical),"Greater Kailash, Delhi",10-12-2023,14:20:00,physical assault reported greater kailash man beaten neighbor
A sexual assault case was filed in Dwarka where a woman was attacked in her home.,Assault (Sexual),"Dwarka, Delhi",11-12-2023,13:00:00,sexual assault case filed dwarka woman attacked home
Domestic violence was reported in Noida where a man was assaulted by his wife.,Assault (Domestic Violence),"Noida, UP",12-12-2023,08:30:00,domestic violence reported noida man assaulted wife
A murder was reported in Connaught Place where a man was found dead in an alley.,Murder/Homicide,"Connaught Place, Delhi",13-12-2023,22:00:00,murder reported connaught place man found dead alley
An attempted murder was reported in Karol Bagh where a man was shot but survived.,Attempted Murder,"Karol Bagh, Delhi",14-12-2023,23:00:00,attempted murder reported karol bagh man shot survived
A kidnapping was reported in Rohini where a child was abducted from a park.,Kidnapping/Abduction,"Rohini, Delhi",15-12-2023,21:10:00,kidnapping reported rohini child abducted park
An unarmed robbery was reported in Saket where a pedestrian's phone was snatched.,Robbery (Unarmed),"Saket, Delhi",16-12-2023,10:15:00,unarmed robbery reported saket pedestrian phone snatched
A riot broke out in Cyber City after a protest turned violent.,Rioting,"Cyber City, Gurgaon",17-12-2023,17:45:00,riot broke cyber city protest turned violent
Gang violence was reported in Dwarka where two groups clashed over a gambling dispute.,Gang Violence,"Dwarka, Delhi",18-12-2023,02:30:00,gang violence reported dwarka two group clashed gambling dispute
"A terrorist threat was reported in Noida, leading to increased police presence.",Terrorism,"Noida, UP",19-12-2023,19:50:00,terrorist threat reported noida leading increased police presence
A physical assault was reported in Rohini where a man was attacked by a group over a property dispute.,Assault (Physical),"Rohini, Delhi",20-12-2023,14:20:00,physical assault reported rohini man attacked group property dispute
A sexual assault case was filed in Saket where a woman was harassed by a stranger in a park.,Assault (Sexual),"Saket, Delhi",21-12-2023,13:00:00,sexual assault case filed saket woman harassed stranger park
Domestic violence was reported in Dwarka where a woman was assaulted by her husband over a family dispute.,Assault (Domestic Violence),"Dwarka, Delhi",22-12-2023,08:30:00,domestic violence reported dwarka woman assaulted husband family dispute
A murder was reported in Karol Bagh where a shopkeeper was stabbed during a robbery.,Murder/Homicide,"Karol Bagh, Delhi",23-12-2023,22:00:00,murder reported karol bagh shopkeeper stabbed robbery
An attempted murder was reported in Connaught Place where a man was attacked with a knife.,Attempted Murder,"Connaught Place, Delhi",24-12-2023,23:00:00,attempted murder reported connaught place man attacked knife
A kidnapping was reported in Noida where a child was abducted from a playground.,Kidnapping/Abduction,"Noida, UP",25-12-2023,21:10:00,kidnapping reported noida child abducted playground
An armed robbery was reported in Cyber City where a jewelry store was looted at gunpoint.,Robbery (Armed),"Cyber City, Gurgaon",26-12-2023,10:15:00,armed robbery reported cyber city jewelry store looted gunpoint
A riot broke out in Rohini after a political rally turned violent.,Rioting,"Rohini, Delhi",27-12-2023,17:45:00,riot broke rohini political rally turned violent
Gang violence was reported in Saket where rival gangs clashed over drug territory.,Gang Violence,"Saket, Delhi",28-12-2023,02:30:00,gang violence reported saket rival gang clashed drug territory
"A terrorist plot was foiled in Delhi, with explosives recovered from a suspect's home.",Terrorism,Delhi,29-12-2023,19:50:00,terrorist plot foiled delhi explosive recovered suspect home
A physical assault was reported in Greater Kailash where a man was beaten by his neighbor.,Assault (Physical),"Greater Kailash, Delhi",30-12-2023,14:20:00,physical assault reported greater kailash man beaten neighbor
A sexual assault case was filed in Dwarka where a woman was attacked in her home.,Assault (Sexual),"Dwarka, Delhi",31-12-2023,13:00:00,sexual assault case filed dwarka woman attacked home
Domestic violence was reported in Noida where a man was assaulted by his wife.,Assault (Domestic Violence),"Noida, UP",01-01-2024,08:30:00,domestic violence reported noida man assaulted wife
A murder was reported in Connaught Place where a man was found dead in an alley.,Murder/Homicide,"Connaught Place, Delhi",02-01-2024,22:00:00,murder reported connaught place man found dead alley
An attempted murder was reported in Karol Bagh where a man was shot but survived.,Attempted Murder,"Karol Bagh, Delhi",03-01-2024,23:00:00,attempted murder reported karol bagh man shot survived
A kidnapping was reported in Rohini where a child was abducted from a park.,Kidnapping/Abduction,"Rohini, Delhi",04-01-2024,21:10:00,kidnapping reported rohini child abducted park
An unarmed robbery was reported in Saket where a pedestrian's phone was snatched.,Robbery (Unarmed),"Saket, Delhi",05-01-2024,10:15:00,unarmed robbery reported saket pedestrian phone snatched
A riot broke out in Cyber City after a protest turned violent.,Rioting,"Cyber City, Gurgaon",06-01-2024,17:45:00,riot broke cyber city protest turned violent
Gang violence was reported in Dwarka where two groups clashed over a gambling dispute.,Gang Violence,"Dwarka, Delhi",07-01-2024,02:30:00,gang violence reported dwarka two group clashed gambling dispute
"A terrorist threat was reported in Noida, leading to increased police presence.",Terrorism,"Noida, UP",08-01-2024,19:50:00,terrorist threat reported noida leading increased police presence
A pickpocketing incident was reported in Connaught Place where a tourist lost their wallet containing cash and cards.,Theft (Pickpocketing),"Connaught Place, Delhi",01-10-2023,14:30:00,pickpocketing incident reported connaught place tourist lost wallet containing cash card
A bag snatching occurred in Saket where a woman's purse was stolen by two men on a bike.,Theft (Bag Snatching),"Saket, Delhi",02-10-2023,22:45:00,bag snatching occurred saket woman purse stolen two men bike
"Shoplifting was reported in a mall in Cyber City where a man stole clothing worth INR 10,000.",Theft (Shoplifting),"Cyber City, Gurgaon",03-10-2023,12:00:00,shoplifting reported mall cyber city man stole clothing worth inr
A home burglary was reported in Dwarka where jewelry worth INR 5 lakhs was stolen.,Burglary (Home),"Dwarka, Delhi",04-10-2023,18:15:00,home burglary reported dwarka jewelry worth inr lakh stolen
A business burglary was reported in Karol Bagh where cash and electronics were stolen from a shop.,Burglary (Business),"Karol Bagh, Delhi",05-10-2023,09:30:00,business burglary reported karol bagh cash electronics stolen shop
A car was stolen from a parking lot in Greater Kailash by breaking the lock.,Vehicle Theft (Car),"Greater Kailash, Delhi",06-10-2023,03:00:00,car stolen parking lot greater kailash breaking lock
A bike was stolen from outside a metro station in Rohini by two unidentified men.,Vehicle Theft (Bike),"Rohini, Delhi",07-10-2023,19:20:00,bike stolen outside metro station rohini two unidentified men
A scooter was stolen from a residential area in Noida by breaking the ignition.,Vehicle Theft (Scooter),"Noida, UP",08-10-2023,11:45:00,scooter stolen residential area noida breaking ignition
An arson attack was reported in Connaught Place where a parked car was set on fire.,Arson,"Connaught Place, Delhi",09-10-2023,16:00:00,arson attack reported connaught place parked car set fire
Vandalism was reported in Saket where public benches and streetlights were damaged by miscreants.,Vandalism (Property Damage),"Saket, Delhi",10-10-2023,20:30:00,vandalism reported saket public bench streetlight damaged miscreant
"Graffiti was found on public walls near Rajiv Chowk, defacing property with offensive messages.",Vandalism (Graffiti),"Rajiv Chowk, Delhi",11-10-2023,14:20:00,graffiti found public wall near rajiv chowk defacing property offensive message
Trespassing was reported in a residential complex in Dwarka where a man entered without permission.,Trespassing,"Dwarka, Delhi",12-10-2023,13:00:00,trespassing reported residential complex dwarka man entered without permission
A pickpocketing incident was reported in Chandni Chowk where a tourist lost their phone.,Theft (Pickpocketing),"Chandni Chowk, Delhi",13-10-2023,08:30:00,pickpocketing incident reported chandni chowk tourist lost phone
A bag snatching occurred in Rohini where a woman's handbag was stolen by two men on a bike.,Theft (Bag Snatching),"Rohini, Delhi",14-10-2023,22:00:00,bag snatching occurred rohini woman handbag stolen two men bike
"Shoplifting was reported in a supermarket in Noida where a woman stole groceries worth INR 5,000.",Theft (Shoplifting),"Noida, UP",15-10-2023,23:00:00,shoplifting reported supermarket noida woman stole grocery worth inr
A home burglary was reported in Greater Kailash where cash and valuables worth INR 7 lakhs were stolen.,Burglary (Home),"Greater Kailash, Delhi",16-10-2023,21:10:00,home burglary reported greater kailash cash valuable worth inr lakh stolen
A business burglary was reported in Cyber City where laptops and phones were stolen from an office.,Burglary (Business),"Cyber City, Gurgaon",17-10-2023,10:15:00,business burglary reported cyber city laptop phone stolen office
A car was stolen from a parking lot in Saket by breaking the window.,Vehicle Theft (Car),"Saket, Delhi",18-10-2023,17:45:00,car stolen parking lot saket breaking window
A bike was stolen from outside a cafe in Karol Bagh by two men on a bike.,Vehicle Theft (Bike),"Karol Bagh, Delhi",19-10-2023,02:30:00,bike stolen outside cafe karol bagh two men bike
A scooter was stolen from a residential area in Dwarka by breaking the lock.,Vehicle Theft (Scooter),"Dwarka, Delhi",20-10-2023,19:50:00,scooter stolen residential area dwarka breaking lock
An arson attack was reported in Noida where a garbage dump was set on fire.,Arson,"Noida, UP",21-10-2023,14:20:00,arson attack reported noida garbage dump set fire
Vandalism was reported in Connaught Place where public property was damaged by miscreants.,Vandalism (Property Damage),"Connaught Place, Delhi",22-10-2023,13:00:00,vandalism reported connaught place public property damaged miscreant
"Graffiti was found on public walls near Saket, defacing property with offensive messages.",Vandalism (Graffiti),"Saket, Delhi",23-10-2023,08:30:00,graffiti found public wall near saket defacing property offensive message
Trespassing was reported in a commercial complex in Cyber City where a man entered without permission.,Trespassing,"Cyber City, Gurgaon",24-10-2023,22:00:00,trespassing reported commercial complex cyber city man entered without permission
A pickpocketing incident was reported in Rajiv Chowk where a commuter lost their wallet.,Theft (Pickpocketing),"Rajiv Chowk, Delhi",25-10-2023,23:00:00,pickpocketing incident reported rajiv chowk commuter lost wallet
A bag snatching occurred in Dwarka where a woman's purse was stolen by two men on a bike.,Theft (Bag Snatching),"Dwarka, Delhi",26-10-2023,21:10:00,bag snatching occurred dwarka woman purse stolen two men bike
"Shoplifting was reported in a mall in Greater Kailash where a man stole electronics worth INR 15,000.",Theft (Shoplifting),"Greater Kailash, Delhi",27-10-2023,10:15:00,shoplifting reported mall greater kailash man stole electronics worth inr
A home burglary was reported in Rohini where cash and jewelry worth INR 3 lakhs were stolen.,Burglary (Home),"Rohini, Delhi",28-10-2023,17:45:00,home burglary reported rohini cash jewelry worth inr lakh stolen
A business burglary was reported in Karol Bagh where cash and valuables were stolen from a shop.,Burglary (Business),"Karol Bagh, Delhi",29-10-2023,02:30:00,business burglary reported karol bagh cash valuable stolen shop
A car was stolen from a parking lot in Noida by breaking the lock.,Vehicle Theft (Car),"Noida, UP",30-10-2023,19:50:00,car stolen parking lot noida breaking lock
A bike was stolen from outside a metro station in Saket by two unidentified men.,Vehicle Theft (Bike),"Saket, Delhi",31-10-2023,14:20:00,bike stolen outside metro station saket two unidentified men
A scooter was stolen from a residential area in Dwarka by breaking the ignition.,Vehicle Theft (Scooter),"Dwarka, Delhi",01-11-2023,13:00:00,scooter stolen residential area dwarka breaking ignition
An arson attack was reported in Cyber City where a parked bike was set on fire.,Arson,"Cyber City, Gurgaon",02-11-2023,08:30:00,arson attack reported cyber city parked bike set fire
Vandalism was reported in Connaught Place where public benches and streetlights were damaged by miscreants.,Vandalism (Property Damage),"Connaught Place, Delhi",03-11-2023,22:00:00,vandalism reported connaught place public bench streetlight damaged miscreant
"Graffiti was found on public walls near Saket, defacing property with offensive messages.",Vandalism (Graffiti),"Saket, Delhi",04-11-2023,23:00:00,graffiti found public wall near saket defacing property offensive message
Trespassing was reported in a residential complex in Rohini where a man entered without permission.,Trespassing,"Rohini, Delhi",05-11-2023,21:10:00,trespassing reported residential complex rohini man entered without permission
A pickpocketing incident was reported in Chandni Chowk where a tourist lost their phone.,Theft (Pickpocketing),"Chandni Chowk, Delhi",06-11-2023,10:15:00,pickpocketing incident reported chandni chowk tourist lost phone
A bag snatching occurred in Noida where a woman's handbag was stolen by two men on a bike.,Theft (Bag Snatching),"Noida, UP",07-11-2023,17:45:00,bag snatching occurred noida woman handbag stolen two men bike
"Shoplifting was reported in a supermarket in Greater Kailash where a woman stole groceries worth INR 5,000.",Theft (Shoplifting),"Greater Kailash, Delhi",08-11-2023,02:30:00,shoplifting reported supermarket greater kailash woman stole grocery worth inr
A home burglary was reported in Dwarka where cash and valuables worth INR 7 lakhs were stolen.,Burglary (Home),"Dwarka, Delhi",09-11-2023,19:50:00,home burglary reported dwarka cash valuable worth inr lakh stolen
A business burglary was reported in Cyber City where laptops and phones were stolen from an office.,Burglary (Business),"Cyber City, Gurgaon",10-11-2023,14:20:00,business burglary reported cyber city laptop phone stolen office
A car was stolen from a parking lot in Saket by breaking the window.,Vehicle Theft (Car),"Saket, Delhi",11-11-2023,13:00:00,car stolen parking lot saket breaking window
A bike was stolen from outside a cafe in Karol Bagh by two men on a bike.,Vehicle Theft (Bike),"Karol Bagh, Delhi",12-11-2023,08:30:00,bike stolen outside cafe karol bagh two men bike
A scooter was stolen from a residential area in Dwarka by breaking the lock.,Vehicle Theft (Scooter),"Dwarka, Delhi",13-11-2023,22:00:00,scooter stolen residential area dwarka breaking lock
An arson attack was reported in Noida where a garbage dump was set on fire.,Arson,"Noida, UP",14-11-2023,23:00:00,arson attack reported noida garbage dump set fire
Vandalism was reported in Connaught Place where public property was damaged by miscreants.,Vandalism (Property Damage),"Connaught Place, Delhi",15-11-2023,21:10:00,vandalism reported connaught place public property damaged miscreant
"Graffiti was found on public walls near Saket, defacing property with offensive messages.",Vandalism (Graffiti),"Saket, Delhi",16-11-2023,10:15:00,graffiti found public wall near saket defacing property offensive message
Trespassing was reported in a commercial complex in Cyber City where a man entered without permission.,Trespassing,"Cyber City, Gurgaon",17-11-2023,17:45:00,trespassing reported commercial complex cyber city man entered without permission
A pickpocketing incident was reported in Rajiv Chowk where a commuter lost their wallet.,Theft (Pickpocketing),"Rajiv Chowk, Delhi",18-11-2023,02:30:00,pickpocketing incident reported rajiv chowk commuter lost wallet
A bag snatching occurred in Dwarka where a woman's purse was stolen by two men on a bike.,Theft (Bag Snatching),"Dwarka, Delhi",19-11-2023,19:50:00,bag snatching occurred dwarka woman purse stolen two men bike
"Shoplifting was reported in a mall in Greater Kailash where a man stole electronics worth INR 15,000.",Theft (Shoplifting),"Greater Kailash, Delhi",20-11-2023,14:20:00,shoplifting reported mall greater kailash man stole electronics worth inr
A home burglary was reported in Rohini where cash and jewelry worth INR 3 lakhs were stolen.,Burglary (Home),"Rohini, Delhi",21-11-2023,13:00:00,home burglary reported rohini cash jewelry worth inr lakh stolen
A business burglary was reported in Karol Bagh where cash and valuables were stolen from a shop.,Burglary (Business),"Karol Bagh, Delhi",22-11-2023,08:30:00,business burglary reported karol bagh cash valuable stolen shop
A car was stolen from a parking lot in Noida by breaking the lock.,Vehicle Theft (Car),"Noida, UP",23-11-2023,22:00:00,car stolen parking lot noida breaking lock
A bike was stolen from outside a metro station in Saket by two unidentified men.,Vehicle Theft (Bike),"Saket, Delhi",24-11-2023,23:00:00,bike stolen outside metro station saket two unidentified men
A scooter was stolen from a residential area in Dwarka by breaking the ignition.,Vehicle Theft (Scooter),"Dwarka, Delhi",25-11-2023,21:10:00,scooter stolen residential area dwarka breaking ignition
An arson attack was reported in Cyber City where a parked bike was set on fire.,Arson,"Cyber City, Gurgaon",26-11-2023,10:15:00,arson attack reported cyber city parked bike set fire
Vandalism was reported in Connaught Place where public benches and streetlights were damaged by miscreants.,Vandalism (Property Damage),"Connaught Place, Delhi",27-11-2023,17:45:00,vandalism reported connaught place public bench streetlight damaged miscreant
"Graffiti was found on public walls near Saket, defacing property with offensive messages.",Vandalism (Graffiti),"Saket, Delhi",28-11-2023,02:30:00,graffiti found public wall near saket defacing property offensive message
Trespassing was reported in a residential complex in Rohini where a man entered without permission.,Trespassing,"Rohini, Delhi",29-11-2023,19:50:00,trespassing reported residential complex rohini man entered without permission
A pickpocketing incident was reported in Chandni Chowk where a tourist lost their phone.,Theft (Pickpocketing),"Chandni Chowk, Delhi",30-11-2023,14:20:00,pickpocketing incident reported chandni chowk tourist lost phone
A bag snatching occurred in Noida where a woman's handbag was stolen by two men on a bike.,Theft (Bag Snatching),"Noida, UP",01-12-2023,13:00:00,bag snatching occurred noida woman handbag stolen two men bike
"Shoplifting was reported in a supermarket in Greater Kailash where a woman stole groceries worth INR 5,000.",Theft (Shoplifting),"Greater Kailash, Delhi",02-12-2023,08:30:00,shoplifting reported supermarket greater kailash woman stole grocery worth inr
A home burglary was reported in Dwarka where cash and valuables worth INR 7 lakhs were stolen.,Burglary (Home),"Dwarka, Delhi",03-12-2023,22:00:00,home burglary reported dwarka cash valuable worth inr lakh stolen
